,title,artist,year,sample,genre,style
0,Outro: Ego,BTS,2020,https://www.whosampled.com/BTS/Intro%3A-2-Cool-4-Skool/,Rock / Pop,Multiple Elements
1,Intro: Ringwanderung,BTS,2018,https://www.whosampled.com/BTS/Best-of-Me-(Japanese-Version)/,Rock / Pop,Vocals / Lyrics
2,Intro: Skool Luv Affair,BTS,2014,https://www.whosampled.com/BTS/Outro%3A-Luv-in-Skool/,Hip-Hop / Rap / R&B,Multiple Elements
3,Coffee,BTS,2013,https://www.whosampled.com/Urban-Zakapa/%EC%BB%A4%ED%94%BC%EB%A5%BC-%EB%A7%88%EC%8B%9C%EA%B3%A0/,Hip-Hop / Rap / R&B,Vocals / Lyrics
4,Am I Wrong,BTS,2016,https://www.whosampled.com/Keb%27-Mo%27/Am-I-Wrong/,Hip-Hop / Rap / R&B,Multiple Elements
5,Ghetto Symphony,A$AP Rocky feat. Gunplay and A$AP Ferg,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
6,Born to Die,Lana Del Rey,2011,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Vocals / Lyrics
7,99 Problems,Jay-Z,2003,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
8,Barry Bonds,Kanye West feat. Lil Wayne,2007,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
9,Wouldn't Get Far,The Game feat. Kanye West,2006,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
10,It Ain't Hard to Tell,Nas,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
11,Love Yourz,J. Cole,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
12,The People,Common feat. Dwele,2007,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
13,Fire Squad,J. Cole,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
14,Terry,Action Bronson,2015,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
15,The Glory,Kanye West,2007,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
16,Gin and Juice,Snoop Dogg feat. Daz Dillinger,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
17,Lord Knows,Drake feat. Rick Ross,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
18,No Stylist,French Montana feat. Drake,2018,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
19,Stepson of the Clapper,J Dilla,2006,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
20,She Needs Me,Kendrick Lamar feat. Javonte,2009,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
21,Eric B. Is President (Original Mix),Eric B. feat. Rakim,1986,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
22,Chain Smoker,Chance the Rapper,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
23,No Makeup (Her Vice),Kendrick Lamar feat. Colin Munroe,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
24,Vossi Bop,Stormzy,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
25,A Fan's Mail (Tron Song Suite II),Thundercat,2017,https://www.whosampled.com/Mountain/Long-Red/,Soul / Funk / Disco,Vocals / Lyrics
26,It's My Thing,EPMD,1987,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
